run_id,itr,counts(idx=0),counts(idx=1),counts(idx=2),counts(idx=3),counts(idx=4),counts(idx=5),counts(idx=6),counts(idx=7),counts(idx=8),counts(idx=9),counts(idx=10),counts(idx=11),counts(idx=12),counts(idx=13),counts(idx=14),counts(idx=15),counts(idx=16),counts(idx=17),counts(idx=18),counts(idx=19)
0700eac3-013b-4efc-a259-1fd327b6571a,13,68,2,4,4,0,2,1,2,1,3,2,1,0,1,3,1,1,3,1,0
a71f5376-f752-41d4-b6df-dda7db57903f,6,59,3,4,3,3,2,2,1,2,1,1,1,2,1,0,3,3,6,1,2
0700eac3-013b-4efc-a259-1fd327b6571a,14,56,1,5,5,1,3,2,2,0,5,5,3,1,1,3,2,1,2,2,0
273880ac-a4c8-41a5-9a68-9ecd24471e89,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
a71f5376-f752-41d4-b6df-dda7db57903f,7,84,0,4,1,0,0,1,0,2,2,2,0,1,1,1,0,0,0,0,1
0700eac3-013b-4efc-a259-1fd327b6571a,15,49,0,6,4,1,2,4,2,0,6,2,2,4,2,5,2,4,2,3,0
273880ac-a4c8-41a5-9a68-9ecd24471e89,1,79,1,1,0,0,2,2,3,0,1,2,2,1,0,1,1,2,2,0,0
a71f5376-f752-41d4-b6df-dda7db57903f,8,68,2,4,0,1,3,1,1,2,2,4,0,1,2,2,0,1,2,1,3
0700eac3-013b-4efc-a259-1fd327b6571a,16,84,2,1,1,2,0,1,0,1,0,1,1,2,0,2,0,0,0,2,0
273880ac-a4c8-41a5-9a68-9ecd24471e89,2,80,0,0,2,0,2,2,0,2,2,2,1,2,0,0,0,1,0,2,2
a71f5376-f752-41d4-b6df-dda7db57903f,9,57,3,5,0,4,1,2,1,2,1,4,1,2,4,4,1,2,2,1,3
273880ac-a4c8-41a5-9a68-9ecd24471e89,3,63,2,0,5,1,2,2,2,1,4,1,2,3,1,1,0,3,2,2,3
0700eac3-013b-4efc-a259-1fd327b6571a,17,64,5,3,4,2,1,3,1,0,0,1,2,5,1,3,0,1,1,2,1
a71f5376-f752-41d4-b6df-dda7db57903f,10,47,3,4,2,6,2,3,1,1,2,4,1,2,4,5,2,1,2,4,4
273880ac-a4c8-41a5-9a68-9ecd24471e89,4,53,5,0,4,1,2,2,2,1,4,3,3,5,1,1,2,2,3,2,4
0700eac3-013b-4efc-a259-1fd327b6571a,18,56,6,3,3,3,4,2,1,0,1,1,1,6,1,3,1,1,1,3,3
a71f5376-f752-41d4-b6df-dda7db57903f,11,88,0,1,2,0,0,0,0,2,0,2,1,1,1,0,0,1,1,0,0
273880ac-a4c8-41a5-9a68-9ecd24471e89,5,47,3,0,5,1,2,2,2,0,4,5,4,6,2,3,2,2,3,1,6
a71f5376-f752-41d4-b6df-dda7db57903f,12,70,0,3,4,1,0,0,0,5,1,1,2,4,1,0,1,4,1,2,0
0700eac3-013b-4efc-a259-1fd327b6571a,19,47,10,2,3,3,3,4,0,1,0,1,3,7,2,4,2,2,1,1,4
